image_id,shape_id,shape_name,a,b,shape_center_x,shape_center_y,alpha,shape_color,image_binary_code,shape_color_word
00060,0,Ellipse,4,4,54,54,30,"(255, 0, 0)",00111100000000,blue
00061,0,Ellipse,4,4,54,54,30,"(255, 0, 0)",10111100000000,blue
00062,0,Parallelogram,4,4,54,54,30,"(255, 0, 0)",01111100000000,blue
00063,0,Parallelogram,4,4,54,54,30,"(255, 0, 0)",11111100000000,blue
00064,0,Ellipse,4,4,6,6,30,"(0, 255, 0)",00000010000000,green
00065,0,Ellipse,4,4,6,6,30,"(0, 255, 0)",10000010000000,green
00066,0,Parallelogram,4,4,6,6,30,"(0, 255, 0)",01000010000000,green
00067,0,Parallelogram,4,4,6,6,30,"(0, 255, 0)",11000010000000,green
00068,0,Ellipse,4,4,22,6,30,"(0, 255, 0)",00100010000000,green
00069,0,Ellipse,4,4,22,6,30,"(0, 255, 0)",10100010000000,green
00070,0,Parallelogram,4,4,22,6,30,"(0, 255, 0)",01100010000000,green
00071,0,Parallelogram,4,4,22,6,30,"(0, 255, 0)",11100010000000,green
00072,0,Ellipse,4,4,38,6,30,"(0, 255, 0)",00010010000000,green
00073,0,Ellipse,4,4,38,6,30,"(0, 255, 0)",10010010000000,green
00074,0,Parallelogram,4,4,38,6,30,"(0, 255, 0)",01010010000000,green
00075,0,Parallelogram,4,4,38,6,30,"(0, 255, 0)",11010010000000,green
00076,0,Ellipse,4,4,54,6,30,"(0, 255, 0)",00110010000000,green
00077,0,Ellipse,4,4,54,6,30,"(0, 255, 0)",10110010000000,green
00078,0,Parallelogram,4,4,54,6,30,"(0, 255, 0)",01110010000000,green
00079,0,Parallelogram,4,4,54,6,30,"(0, 255, 0)",11110010000000,green
00080,0,Ellipse,4,4,6,22,30,"(0, 255, 0)",00001010000000,green
00081,0,Ellipse,4,4,6,22,30,"(0, 255, 0)",10001010000000,green
00082,0,Parallelogram,4,4,6,22,30,"(0, 255, 0)",01001010000000,green
00083,0,Parallelogram,4,4,6,22,30,"(0, 255, 0)",11001010000000,green
00084,0,Ellipse,4,4,22,22,30,"(0, 255, 0)",00101010000000,green
00085,0,Ellipse,4,4,22,22,30,"(0, 255, 0)",10101010000000,green
00086,0,Parallelogram,4,4,22,22,30,"(0, 255, 0)",01101010000000,green
00087,0,Parallelogram,4,4,22,22,30,"(0, 255, 0)",11101010000000,green
00088,0,Ellipse,4,4,38,22,30,"(0, 255, 0)",00011010000000,green
00089,0,Ellipse,4,4,38,22,30,"(0, 255, 0)",10011010000000,green
00090,0,Parallelogram,4,4,38,22,30,"(0, 255, 0)",01011010000000,green
00091,0,Parallelogram,4,4,38,22,30,"(0, 255, 0)",11011010000000,green
00092,0,Ellipse,4,4,54,22,30,"(0, 255, 0)",00111010000000,green
00093,0,Ellipse,4,4,54,22,30,"(0, 255, 0)",10111010000000,green
00094,0,Parallelogram,4,4,54,22,30,"(0, 255, 0)",01111010000000,green
00095,0,Parallelogram,4,4,54,22,30,"(0, 255, 0)",11111010000000,green
00096,0,Ellipse,4,4,6,38,30,"(0, 255, 0)",00000110000000,green
00097,0,Ellipse,4,4,6,38,30,"(0, 255, 0)",10000110000000,green
00098,0,Parallelogram,4,4,6,38,30,"(0, 255, 0)",01000110000000,green
00099,0,Parallelogram,4,4,6,38,30,"(0, 255, 0)",11000110000000,green
00100,0,Ellipse,4,4,22,38,30,"(0, 255, 0)",00100110000000,green
00101,0,Ellipse,4,4,22,38,30,"(0, 255, 0)",10100110000000,green
00102,0,Parallelogram,4,4,22,38,30,"(0, 255, 0)",01100110000000,green
00103,0,Parallelogram,4,4,22,38,30,"(0, 255, 0)",11100110000000,green
00104,0,Ellipse,4,4,38,38,30,"(0, 255, 0)",00010110000000,green
00105,0,Ellipse,4,4,38,38,30,"(0, 255, 0)",10010110000000,green
00106,0,Parallelogram,4,4,38,38,30,"(0, 255, 0)",01010110000000,green
00107,0,Parallelogram,4,4,38,38,30,"(0, 255, 0)",11010110000000,green
00108,0,Ellipse,4,4,54,38,30,"(0, 255, 0)",00110110000000,green
00109,0,Ellipse,4,4,54,38,30,"(0, 255, 0)",10110110000000,green
00110,0,Parallelogram,4,4,54,38,30,"(0, 255, 0)",01110110000000,green
00111,0,Parallelogram,4,4,54,38,30,"(0, 255, 0)",11110110000000,green
00112,0,Ellipse,4,4,6,54,30,"(0, 255, 0)",00001110000000,green
00113,0,Ellipse,4,4,6,54,30,"(0, 255, 0)",10001110000000,green
00114,0,Parallelogram,4,4,6,54,30,"(0, 255, 0)",01001110000000,green
00115,0,Parallelogram,4,4,6,54,30,"(0, 255, 0)",11001110000000,green
00116,0,Ellipse,4,4,22,54,30,"(0, 255, 0)",00101110000000,green
00117,0,Ellipse,4,4,22,54,30,"(0, 255, 0)",10101110000000,green
00118,0,Parallelogram,4,4,22,54,30,"(0, 255, 0)",01101110000000,green
00119,0,Parallelogram,4,4,22,54,30,"(0, 255, 0)",11101110000000,green
00120,0,Ellipse,4,4,38,54,30,"(0, 255, 0)",00011110000000,green
00121,0,Ellipse,4,4,38,54,30,"(0, 255, 0)",10011110000000,green
00122,0,Parallelogram,4,4,38,54,30,"(0, 255, 0)",01011110000000,green
00123,0,Parallelogram,4,4,38,54,30,"(0, 255, 0)",11011110000000,green
00124,0,Ellipse,4,4,54,54,30,"(0, 255, 0)",00111110000000,green
00125,0,Ellipse,4,4,54,54,30,"(0, 255, 0)",10111110000000,green
00126,0,Parallelogram,4,4,54,54,30,"(0, 255, 0)",01111110000000,green
00127,0,Parallelogram,4,4,54,54,30,"(0, 255, 0)",11111110000000,green
00128,0,Ellipse,4,4,6,6,30,"(0, 0, 255)",00000001000000,red
00129,0,Ellipse,4,4,6,6,30,"(0, 0, 255)",10000001000000,red
00130,0,Parallelogram,4,4,6,6,30,"(0, 0, 255)",01000001000000,red
00131,0,Parallelogram,4,4,6,6,30,"(0, 0, 255)",11000001000000,red
00132,0,Ellipse,4,4,22,6,30,"(0, 0, 255)",00100001000000,red
00133,0,Ellipse,4,4,22,6,30,"(0, 0, 255)",10100001000000,red
00134,0,Parallelogram,4,4,22,6,30,"(0, 0, 255)",01100001000000,red
00135,0,Parallelogram,4,4,22,6,30,"(0, 0, 255)",11100001000000,red
00136,0,Ellipse,4,4,38,6,30,"(0, 0, 255)",00010001000000,red
00137,0,Ellipse,4,4,38,6,30,"(0, 0, 255)",10010001000000,red
00138,0,Parallelogram,4,4,38,6,30,"(0, 0, 255)",01010001000000,red
00139,0,Parallelogram,4,4,38,6,30,"(0, 0, 255)",11010001000000,red
00140,0,Ellipse,4,4,54,6,30,"(0, 0, 255)",00110001000000,red
00141,0,Ellipse,4,4,54,6,30,"(0, 0, 255)",10110001000000,red
00142,0,Parallelogram,4,4,54,6,30,"(0, 0, 255)",01110001000000,red
00143,0,Parallelogram,4,4,54,6,30,"(0, 0, 255)",11110001000000,red
00144,0,Ellipse,4,4,6,22,30,"(0, 0, 255)",00001001000000,red
00145,0,Ellipse,4,4,6,22,30,"(0, 0, 255)",10001001000000,red
00146,0,Parallelogram,4,4,6,22,30,"(0, 0, 255)",01001001000000,red
00147,0,Parallelogram,4,4,6,22,30,"(0, 0, 255)",11001001000000,red
00148,0,Ellipse,4,4,22,22,30,"(0, 0, 255)",00101001000000,red
00149,0,Ellipse,4,4,22,22,30,"(0, 0, 255)",10101001000000,red
00150,0,Parallelogram,4,4,22,22,30,"(0, 0, 255)",01101001000000,red
00151,0,Parallelogram,4,4,22,22,30,"(0, 0, 255)",11101001000000,red
00152,0,Ellipse,4,4,38,22,30,"(0, 0, 255)",00011001000000,red
00153,0,Ellipse,4,4,38,22,30,"(0, 0, 255)",10011001000000,red
00154,0,Parallelogram,4,4,38,22,30,"(0, 0, 255)",01011001000000,red
00155,0,Parallelogram,4,4,38,22,30,"(0, 0, 255)",11011001000000,red
00156,0,Ellipse,4,4,54,22,30,"(0, 0, 255)",00111001000000,red
00157,0,Ellipse,4,4,54,22,30,"(0, 0, 255)",10111001000000,red
00158,0,Parallelogram,4,4,54,22,30,"(0, 0, 255)",01111001000000,red
00159,0,Parallelogram,4,4,54,22,30,"(0, 0, 255)",11111001000000,red
00160,0,Ellipse,4,4,6,38,30,"(0, 0, 255)",00000101000000,red
00161,0,Ellipse,4,4,6,38,30,"(0, 0, 255)",10000101000000,red
00162,0,Parallelogram,4,4,6,38,30,"(0, 0, 255)",01000101000000,red
00163,0,Parallelogram,4,4,6,38,30,"(0, 0, 255)",11000101000000,red
00164,0,Ellipse,4,4,22,38,30,"(0, 0, 255)",00100101000000,red
00165,0,Ellipse,4,4,22,38,30,"(0, 0, 255)",10100101000000,red
00166,0,Parallelogram,4,4,22,38,30,"(0, 0, 255)",01100101000000,red
00167,0,Parallelogram,4,4,22,38,30,"(0, 0, 255)",11100101000000,red
00168,0,Ellipse,4,4,38,38,30,"(0, 0, 255)",00010101000000,red
00169,0,Ellipse,4,4,38,38,30,"(0, 0, 255)",10010101000000,red
00170,0,Parallelogram,4,4,38,38,30,"(0, 0, 255)",01010101000000,red
00171,0,Parallelogram,4,4,38,38,30,"(0, 0, 255)",11010101000000,red
00172,0,Ellipse,4,4,54,38,30,"(0, 0, 255)",00110101000000,red
00173,0,Ellipse,4,4,54,38,30,"(0, 0, 255)",10110101000000,red
00174,0,Parallelogram,4,4,54,38,30,"(0, 0, 255)",01110101000000,red
00175,0,Parallelogram,4,4,54,38,30,"(0, 0, 255)",11110101000000,red
00176,0,Ellipse,4,4,6,54,30,"(0, 0, 255)",00001101000000,red
00177,0,Ellipse,4,4,6,54,30,"(0, 0, 255)",10001101000000,red
00178,0,Parallelogram,4,4,6,54,30,"(0, 0, 255)",01001101000000,red
00179,0,Parallelogram,4,4,6,54,30,"(0, 0, 255)",11001101000000,red
00180,0,Ellipse,4,4,22,54,30,"(0, 0, 255)",00101101000000,red
00181,0,Ellipse,4,4,22,54,30,"(0, 0, 255)",10101101000000,red
00182,0,Parallelogram,4,4,22,54,30,"(0, 0, 255)",01101101000000,red
00183,0,Parallelogram,4,4,22,54,30,"(0, 0, 255)",11101101000000,red
00184,0,Ellipse,4,4,38,54,30,"(0, 0, 255)",00011101000000,red
00185,0,Ellipse,4,4,38,54,30,"(0, 0, 255)",10011101000000,red
00186,0,Parallelogram,4,4,38,54,30,"(0, 0, 255)",01011101000000,red
00187,0,Parallelogram,4,4,38,54,30,"(0, 0, 255)",11011101000000,red
00188,0,Ellipse,4,4,54,54,30,"(0, 0, 255)",00111101000000,red
00189,0,Ellipse,4,4,54,54,30,"(0, 0, 255)",10111101000000,red
00190,0,Parallelogram,4,4,54,54,30,"(0, 0, 255)",01111101000000,red
00191,0,Parallelogram,4,4,54,54,30,"(0, 0, 255)",11111101000000,red
00192,0,Ellipse,4,4,6,6,30,"(255, 255, 255)",00000011000000,white
00193,0,Ellipse,4,4,6,6,30,"(255, 255, 255)",10000011000000,white
00194,0,Parallelogram,4,4,6,6,30,"(255, 255, 255)",01000011000000,white
00195,0,Parallelogram,4,4,6,6,30,"(255, 255, 255)",11000011000000,white
00196,0,Ellipse,4,4,22,6,30,"(255, 255, 255)",00100011000000,white
00197,0,Ellipse,4,4,22,6,30,"(255, 255, 255)",10100011000000,white
00198,0,Parallelogram,4,4,22,6,30,"(255, 255, 255)",01100011000000,white
00199,0,Parallelogram,4,4,22,6,30,"(255, 255, 255)",11100011000000,white
00200,0,Ellipse,4,4,38,6,30,"(255, 255, 255)",00010011000000,white
00201,0,Ellipse,4,4,38,6,30,"(255, 255, 255)",10010011000000,white
00202,0,Parallelogram,4,4,38,6,30,"(255, 255, 255)",01010011000000,white
00203,0,Parallelogram,4,4,38,6,30,"(255, 255, 255)",11010011000000,white
00204,0,Ellipse,4,4,54,6,30,"(255, 255, 255)",00110011000000,white
00205,0,Ellipse,4,4,54,6,30,"(255, 255, 255)",10110011000000,white
00206,0,Parallelogram,4,4,54,6,30,"(255, 255, 255)",01110011000000,white
00207,0,Parallelogram,4,4,54,6,30,"(255, 255, 255)",11110011000000,white
00208,0,Ellipse,4,4,6,22,30,"(255, 255, 255)",00001011000000,white
00209,0,Ellipse,4,4,6,22,30,"(255, 255, 255)",10001011000000,white
00210,0,Parallelogram,4,4,6,22,30,"(255, 255, 255)",01001011000000,white
00211,0,Parallelogram,4,4,6,22,30,"(255, 255, 255)",11001011000000,white
00212,0,Ellipse,4,4,22,22,30,"(255, 255, 255)",00101011000000,white
00213,0,Ellipse,4,4,22,22,30,"(255, 255, 255)",10101011000000,white
00214,0,Parallelogram,4,4,22,22,30,"(255, 255, 255)",01101011000000,white
00215,0,Parallelogram,4,4,22,22,30,"(255, 255, 255)",11101011000000,white
00216,0,Ellipse,4,4,38,22,30,"(255, 255, 255)",00011011000000,white
00217,0,Ellipse,4,4,38,22,30,"(255, 255, 255)",10011011000000,white
00218,0,Parallelogram,4,4,38,22,30,"(255, 255, 255)",01011011000000,white
00219,0,Parallelogram,4,4,38,22,30,"(255, 255, 255)",11011011000000,white
00220,0,Ellipse,4,4,54,22,30,"(255, 255, 255)",00111011000000,white
00221,0,Ellipse,4,4,54,22,30,"(255, 255, 255)",10111011000000,white
00222,0,Parallelogram,4,4,54,22,30,"(255, 255, 255)",01111011000000,white
00223,0,Parallelogram,4,4,54,22,30,"(255, 255, 255)",11111011000000,white
00224,0,Ellipse,4,4,6,38,30,"(255, 255, 255)",00000111000000,white
00225,0,Ellipse,4,4,6,38,30,"(255, 255, 255)",10000111000000,white
00226,0,Parallelogram,4,4,6,38,30,"(255, 255, 255)",01000111000000,white
00227,0,Parallelogram,4,4,6,38,30,"(255, 255, 255)",11000111000000,white
00228,0,Ellipse,4,4,22,38,30,"(255, 255, 255)",00100111000000,white
00229,0,Ellipse,4,4,22,38,30,"(255, 255, 255)",10100111000000,white
00230,0,Parallelogram,4,4,22,38,30,"(255, 255, 255)",01100111000000,white
00231,0,Parallelogram,4,4,22,38,30,"(255, 255, 255)",11100111000000,white
00232,0,Ellipse,4,4,38,38,30,"(255, 255, 255)",00010111000000,white
00233,0,Ellipse,4,4,38,38,30,"(255, 255, 255)",10010111000000,white
00234,0,Parallelogram,4,4,38,38,30,"(255, 255, 255)",01010111000000,white
00235,0,Parallelogram,4,4,38,38,30,"(255, 255, 255)",11010111000000,white
00236,0,Ellipse,4,4,54,38,30,"(255, 255, 255)",00110111000000,white
00237,0,Ellipse,4,4,54,38,30,"(255, 255, 255)",10110111000000,white
00238,0,Parallelogram,4,4,54,38,30,"(255, 255, 255)",01110111000000,white
00239,0,Parallelogram,4,4,54,38,30,"(255, 255, 255)",11110111000000,white
00240,0,Ellipse,4,4,6,54,30,"(255, 255, 255)",00001111000000,white
00241,0,Ellipse,4,4,6,54,30,"(255, 255, 255)",10001111000000,white
00242,0,Parallelogram,4,4,6,54,30,"(255, 255, 255)",01001111000000,white
00243,0,Parallelogram,4,4,6,54,30,"(255, 255, 255)",11001111000000,white
00244,0,Ellipse,4,4,22,54,30,"(255, 255, 255)",00101111000000,white
00245,0,Ellipse,4,4,22,54,30,"(255, 255, 255)",10101111000000,white
00246,0,Parallelogram,4,4,22,54,30,"(255, 255, 255)",01101111000000,white
00247,0,Parallelogram,4,4,22,54,30,"(255, 255, 255)",11101111000000,white
00248,0,Ellipse,4,4,38,54,30,"(255, 255, 255)",00011111000000,white
00249,0,Ellipse,4,4,38,54,30,"(255, 255, 255)",10011111000000,white
00250,0,Parallelogram,4,4,38,54,30,"(255, 255, 255)",01011111000000,white
00251,0,Parallelogram,4,4,38,54,30,"(255, 255, 255)",11011111000000,white
00252,0,Ellipse,4,4,54,54,30,"(255, 255, 255)",00111111000000,white
00253,0,Ellipse,4,4,54,54,30,"(255, 255, 255)",10111111000000,white
00254,0,Parallelogram,4,4,54,54,30,"(255, 255, 255)",01111111000000,white
00255,0,Parallelogram,4,4,54,54,30,"(255, 255, 255)",11111111000000,white
00256,0,Ellipse,8,4,6,6,30,"(255, 0, 0)",00000000100000,blue
00257,0,Ellipse,8,4,6,6,30,"(255, 0, 0)",10000000100000,blue
00258,0,Parallelogram,8,4,6,6,30,"(255, 0, 0)",01000000100000,blue
00259,0,Parallelogram,8,4,6,6,30,"(255, 0, 0)",11000000100000,blue
00260,0,Ellipse,8,4,22,6,30,"(255, 0, 0)",00100000100000,blue
00261,0,Ellipse,8,4,22,6,30,"(255, 0, 0)",10100000100000,blue
00262,0,Parallelogram,8,4,22,6,30,"(255, 0, 0)",01100000100000,blue
00263,0,Parallelogram,8,4,22,6,30,"(255, 0, 0)",11100000100000,blue
00264,0,Ellipse,8,4,38,6,30,"(255, 0, 0)",00010000100000,blue
00265,0,Ellipse,8,4,38,6,30,"(255, 0, 0)",10010000100000,blue
00266,0,Parallelogram,8,4,38,6,30,"(255, 0, 0)",01010000100000,blue
00267,0,Parallelogram,8,4,38,6,30,"(255, 0, 0)",11010000100000,blue
00268,0,Ellipse,8,4,54,6,30,"(255, 0, 0)",00110000100000,blue
00269,0,Ellipse,8,4,54,6,30,"(255, 0, 0)",10110000100000,blue
00270,0,Parallelogram,8,4,54,6,30,"(255, 0, 0)",01110000100000,blue
00271,0,Parallelogram,8,4,54,6,30,"(255, 0, 0)",11110000100000,blue
00272,0,Ellipse,8,4,6,22,30,"(255, 0, 0)",00001000100000,blue
00273,0,Ellipse,8,4,6,22,30,"(255, 0, 0)",10001000100000,blue
00274,0,Parallelogram,8,4,6,22,30,"(255, 0, 0)",01001000100000,blue
00275,0,Parallelogram,8,4,6,22,30,"(255, 0, 0)",11001000100000,blue
00276,0,Ellipse,8,4,22,22,30,"(255, 0, 0)",00101000100000,blue
00277,0,Ellipse,8,4,22,22,30,"(255, 0, 0)",10101000100000,blue
00278,0,Parallelogram,8,4,22,22,30,"(255, 0, 0)",01101000100000,blue
00279,0,Parallelogram,8,4,22,22,30,"(255, 0, 0)",11101000100000,blue
00280,0,Ellipse,8,4,38,22,30,"(255, 0, 0)",00011000100000,blue
00281,0,Ellipse,8,4,38,22,30,"(255, 0, 0)",10011000100000,blue
00282,0,Parallelogram,8,4,38,22,30,"(255, 0, 0)",01011000100000,blue
00283,0,Parallelogram,8,4,38,22,30,"(255, 0, 0)",11011000100000,blue
00284,0,Ellipse,8,4,54,22,30,"(255, 0, 0)",00111000100000,blue
00285,0,Ellipse,8,4,54,22,30,"(255, 0, 0)",10111000100000,blue
00286,0,Parallelogram,8,4,54,22,30,"(255, 0, 0)",01111000100000,blue
00287,0,Parallelogram,8,4,54,22,30,"(255, 0, 0)",11111000100000,blue
00288,0,Ellipse,8,4,6,38,30,"(255, 0, 0)",00000100100000,blue
00289,0,Ellipse,8,4,6,38,30,"(255, 0, 0)",10000100100000,blue
00290,0,Parallelogram,8,4,6,38,30,"(255, 0, 0)",01000100100000,blue
00291,0,Parallelogram,8,4,6,38,30,"(255, 0, 0)",11000100100000,blue
00292,0,Ellipse,8,4,22,38,30,"(255, 0, 0)",00100100100000,blue
00293,0,Ellipse,8,4,22,38,30,"(255, 0, 0)",10100100100000,blue
00294,0,Parallelogram,8,4,22,38,30,"(255, 0, 0)",01100100100000,blue
00295,0,Parallelogram,8,4,22,38,30,"(255, 0, 0)",11100100100000,blue
00296,0,Ellipse,8,4,38,38,30,"(255, 0, 0)",00010100100000,blue
00297,0,Ellipse,8,4,38,38,30,"(255, 0, 0)",10010100100000,blue
00298,0,Parallelogram,8,4,38,38,30,"(255, 0, 0)",01010100100000,blue
00299,0,Parallelogram,8,4,38,38,30,"(255, 0, 0)",11010100100000,blue
00300,0,Ellipse,8,4,54,38,30,"(255, 0, 0)",00110100100000,blue
00301,0,Ellipse,8,4,54,38,30,"(255, 0, 0)",10110100100000,blue
00302,0,Parallelogram,8,4,54,38,30,"(255, 0, 0)",01110100100000,blue
00303,0,Parallelogram,8,4,54,38,30,"(255, 0, 0)",11110100100000,blue
00304,0,Ellipse,8,4,6,54,30,"(255, 0, 0)",00001100100000,blue
00305,0,Ellipse,8,4,6,54,30,"(255, 0, 0)",10001100100000,blue
00306,0,Parallelogram,8,4,6,54,30,"(255, 0, 0)",01001100100000,blue
00307,0,Parallelogram,8,4,6,54,30,"(255, 0, 0)",11001100100000,blue
00308,0,Ellipse,8,4,22,54,30,"(255, 0, 0)",00101100100000,blue
00309,0,Ellipse,8,4,22,54,30,"(255, 0, 0)",10101100100000,blue
00310,0,Parallelogram,8,4,22,54,30,"(255, 0, 0)",01101100100000,blue
00311,0,Parallelogram,8,4,22,54,30,"(255, 0, 0)",11101100100000,blue
00312,0,Ellipse,8,4,38,54,30,"(255, 0, 0)",00011100100000,blue
00313,0,Ellipse,8,4,38,54,30,"(255, 0, 0)",10011100100000,blue
00314,0,Parallelogram,8,4,38,54,30,"(255, 0, 0)",01011100100000,blue
00315,0,Parallelogram,8,4,38,54,30,"(255, 0, 0)",11011100100000,blue
00316,0,Ellipse,8,4,54,54,30,"(255, 0, 0)",00111100100000,blue
00317,0,Ellipse,8,4,54,54,30,"(255, 0, 0)",10111100100000,blue
00318,0,Parallelogram,8,4,54,54,30,"(255, 0, 0)",01111100100000,blue
00319,0,Parallelogram,8,4,54,54,30,"(255, 0, 0)",11111100100000,blue
00320,0,Ellipse,8,4,6,6,30,"(0, 255, 0)",00000010100000,green
00321,0,Ellipse,8,4,6,6,30,"(0, 255, 0)",10000010100000,green
00322,0,Parallelogram,8,4,6,6,30,"(0, 255, 0)",01000010100000,green
00323,0,Parallelogram,8,4,6,6,30,"(0, 255, 0)",11000010100000,green
00324,0,Ellipse,8,4,22,6,30,"(0, 255, 0)",00100010100000,green
00325,0,Ellipse,8,4,22,6,30,"(0, 255, 0)",10100010100000,green
00326,0,Parallelogram,8,4,22,6,30,"(0, 255, 0)",01100010100000,green
00327,0,Parallelogram,8,4,22,6,30,"(0, 255, 0)",11100010100000,green
00328,0,Ellipse,8,4,38,6,30,"(0, 255, 0)",00010010100000,green
00329,0,Ellipse,8,4,38,6,30,"(0, 255, 0)",10010010100000,green
00330,0,Parallelogram,8,4,38,6,30,"(0, 255, 0)",01010010100000,green
00331,0,Parallelogram,8,4,38,6,30,"(0, 255, 0)",11010010100000,green
00332,0,Ellipse,8,4,54,6,30,"(0, 255, 0)",00110010100000,green
00333,0,Ellipse,8,4,54,6,30,"(0, 255, 0)",10110010100000,green
00334,0,Parallelogram,8,4,54,6,30,"(0, 255, 0)",01110010100000,green
00335,0,Parallelogram,8,4,54,6,30,"(0, 255, 0)",11110010100000,green
00336,0,Ellipse,8,4,6,22,30,"(0, 255, 0)",00001010100000,green
00337,0,Ellipse,8,4,6,22,30,"(0, 255, 0)",10001010100000,green
00338,0,Parallelogram,8,4,6,22,30,"(0, 255, 0)",01001010100000,green
